origin_region,destination_region,migration_score,year,origin_lat,origin_lng,destination_lat,destination_lng
Bihar,Maharashtra,0.85,2024,25.0961,85.3131,19.7515,75.7139
Uttar Pradesh,Delhi,0.92,2024,26.8467,80.9462,28.7041,77.1025
Rajasthan,Gujarat,0.67,2024,27.0238,74.2179,22.2587,71.1924
Odisha,Andhra Pradesh,0.58,2024,20.9517,85.0985,15.9129,79.7400
West Bengal,Karnataka,0.73,2024,22.9868,87.8550,15.3173,75.7139
Jharkhand,Maharashtra,0.79,2024,23.6102,85.2799,19.7515,75.7139
Madhya Pradesh,Gujarat,0.61,2024,22.9734,78.6569,22.2587,71.1924
Chhattisgarh,Telangana,0.55,2024,21.2787,81.8661,18.1124,79.0193
Assam,Kerala,0.48,2024,26.2006,92.9376,10.8505,76.2711
Tamil Nadu,Karnataka,0.52,2024,11.1271,78.6569,15.3173,75.7139
